 000_0       0.00 999
 004_0       4.00 999
 010_5      10.50 999
 014_9      14.90 999
 019_5      19.50 999
 025_6      25.60 999
 031_0      31.00 999
 035_9      35.90 999
 039_5      39.50 999
 044_5      44.50 999
 052_2      52.20 999
 055_8      55.80 999
 060_6      60.60 999
 066_0      66.00 999
 069_0      69.00 999
 075_0      75.00 999
 080_8      80.80 999
 086_7      86.70 999
 091_9      91.90 999
 097_2      97.20 999
 102_6     102.60 999
 107_0     107.00 999
 111_0     111.00 999
 115_8     115.80 999
 121_8     121.80 999
 127_2     127.20 999
 131_2     131.20 999
 136_4     136.40 999
 142_4     142.40 999
 145_0     145.00 999
 148_6     148.60 999
 154_7     154.70 0.0
 160_4     160.40 0.0
 164_8     164.80 0.0
 168_2     168.20 0.0
 172_2     172.20 0.0
 178_4     178.40 0.0
 186_8     186.80 0.0
 190_8     190.80 0.0
 196_0     196.00 0.0
 201_3     201.30 0.0
 204_9     204.90 0.0
 213_2     213.20 0.0
 217_8     217.80 0.0
 222_4     222.40 0.0
 227_0     227.00 0.0
 232_0     232.00 0.0
 233_6     233.60 0.0
 239_5     239.50 0.0
 244_6     244.60 0.0
 252_0     252.00 0.0
 256_0     256.00 0.0
 262_5     262.50 0.0
 265_1     265.10 0.0
 268_7     268.70 0.0
 275_0     275.00 0.0
 280_0     280.00 0.0
 286_8     286.80 0.0
 292_6     292.60 0.0
 297_0     297.00 0.0
 301_3     301.30 0.0
 305_4     305.40 0.0
 311_1     311.10 0.0
 314_6     314.60 0.0
 319_2     319.20 0.0
 327_0     327.00 0.0
 330_9     330.90 0.0
 333_0     333.00 0.0
 338_8     338.80 0.0
 344_0     344.00 0.0
 349_0     349.00 0.0
 354_0     354.00 0.0
 358_9     358.90 0.0
 365_6     365.60 0.0
 370_0     370.00 0.0
 375_0     375.00 0.0
 380_0     380.00 0.0
 385_2     385.20 0.0
 390_5     390.50 0.0
 395_0     395.00 0.0
 400_0     400.00 160.0
 405_0     405.00 160.0
 410_0     410.00 160.0
 415_0     415.00 160.0
 421_1     421.10 160.0
 425_2     425.20 160.0
 430_4     430.40 160.0
 436_0     436.00 160.0
 441_2     441.20 160.0
 444_5     444.50 160.0
 449_1     449.10 160.0
 455_7     455.70 160.0
 460_0     460.00 160.0
 465_0     465.00 160.0
 470_0     470.00 160.0
 475_0     475.00 180.0
 481_6     481.60 180.0
 485_4     485.40 180.0
 491_8     491.80 180.0
 495_5     495.50 180.0
 498_8     498.80 180.0
 505_0     505.00 180.0
 510_0     510.00 180.0
 515_0     515.00 180.0
 520_0     520.00 180.0
 525_0     525.00 180.0
 530_0     530.00 180.0
 535_0     535.00 180.0
 541_0     541.00 180.0

